ID,name,Geography,History,Mathematics,Literature,Computer Science,Biology,Statistics,Physics,Chemistry,Medicine,Economics,Philosophy,Psychology,Music,Cinema,Television,Sport
Q1030402,John W. Campbell Memorial Award for Best Science Fiction Novel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1030465,John Russell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q10305,Zaragoza,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1030652,Ricochet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1030713,Another World,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1030726,Győr District,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q10307713,The Hunger Games: Mockingjay – Part 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q10307893,John Shiban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q10308,Real Zaragoza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q103093,Västra Götaland County,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1030972,Sunset Beach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q103114,Michel Houellebecq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1031262,Hellraiser: Bloodline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q10313,San Sebastián,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q10315,Real Sociedad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
